"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 12 15:03:20 CST 2019","Mon Aug 12 15:03:20 CST 2019","0","","test_2","","","","test_1",""
"failed","Mon Aug 12 15:03:20 CST 2019","Mon Aug 12 15:03:20 CST 2019","1","","test_1","","","","test_2",""
"failed","Mon Aug 12 15:03:20 CST 2019","Mon Aug 12 15:03:20 CST 2019","1","","test_1","","","","test_1",""
"failed","Mon Aug 12 15:03:20 CST 2019","Mon Aug 12 15:03:20 CST 2019","0","","test_2","","","","test_three",""
"failed","Mon Aug 12 15:03:20 CST 2019","Mon Aug 12 15:03:20 CST 2019","0","","test_2","","","","test_2",""
"passed","Mon Aug 12 15:03:20 CST 2019","Mon Aug 12 15:03:20 CST 2019","0","","test_1","","","","test_three",""
