18-08-2019:16:53:20,990 INFO [test_1.py:34] 密码输入正确
18-08-2019:16:53:29,515 INFO [test_1.py:39] 成功登录
18-08-2019:16:53:36,955 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:16:53:39,209 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:16:53:40,903 INFO [test_1.py:54] 跳转成功
18-08-2019:16:53:48,783 INFO [test_1.py:63] 滑动成功
18-08-2019:16:53:49,792 INFO [test_1.py:69] 成功进入编辑资料页面
18-08-2019:16:53:50,726 INFO [test_1.py:75] 更换相册
18-08-2019:16:54:05,249 INFO [test_1.py:87] 返回编辑页面成功
18-08-2019:16:54:07,802 INFO [test_1.py:92] 滑动成功
18-08-2019:16:54:10,9 INFO [test_1.py:99] 点击设置跳转界面成功
18-08-2019:16:55:09,104 INFO [test_1.py:23] 连接成功
18-08-2019:16:55:19,767 INFO [test_1.py:29] 账号输入成功
18-08-2019:16:55:30,807 INFO [test_1.py:34] 密码输入正确
18-08-2019:16:55:39,379 INFO [test_1.py:39] 成功登录
18-08-2019:16:55:46,861 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:16:55:49,144 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:16:55:50,714 INFO [test_1.py:54] 跳转成功
18-08-2019:16:55:58,616 INFO [test_1.py:63] 滑动成功
18-08-2019:16:55:59,812 INFO [test_1.py:69] 成功进入编辑资料页面
18-08-2019:16:56:00,869 INFO [test_1.py:75] 更换相册
18-08-2019:16:56:15,465 INFO [test_1.py:87] 返回编辑页面成功
18-08-2019:16:56:17,977 INFO [test_1.py:92] 滑动成功
18-08-2019:16:56:20,235 INFO [test_1.py:99] 点击设置跳转界面成功
18-08-2019:16:56:29,64 INFO [test_1.py:108] 退出成功
18-08-2019:16:58:32,654 INFO [test_1.py:23] 连接成功
18-08-2019:16:58:43,157 INFO [test_1.py:29] 账号输入成功
18-08-2019:16:58:54,79 INFO [test_1.py:34] 密码输入正确
18-08-2019:16:59:03,573 INFO [test_1.py:39] 成功登录
18-08-2019:16:59:11,193 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:16:59:13,465 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:16:59:14,723 INFO [test_1.py:54] 跳转成功
18-08-2019:16:59:22,569 INFO [test_1.py:63] 滑动成功
18-08-2019:16:59:23,858 INFO [test_1.py:69] 成功进入编辑资料页面
18-08-2019:16:59:24,931 INFO [test_1.py:75] 更换相册
18-08-2019:16:59:39,879 INFO [test_1.py:87] 返回编辑页面成功
18-08-2019:16:59:42,501 INFO [test_1.py:92] 滑动成功
18-08-2019:16:59:44,753 INFO [test_1.py:99] 点击设置跳转界面成功
18-08-2019:16:59:53,515 INFO [test_1.py:108] 退出成功
