22-08-2019:19:05:40,792 INFO [test_3.py:21] 成功连接APP
22-08-2019:19:05:53,202 INFO [test_3.py:27] 账号输入成功
22-08-2019:19:06:04,177 INFO [test_3.py:32] 密码输入正确
22-08-2019:19:06:12,588 INFO [test_3.py:37] 成功登录
22-08-2019:19:06:18,722 INFO [test_3.py:43] 跳转成功
22-08-2019:19:06:23,602 INFO [test_3.py:51] 成功进入编辑资料页面
22-08-2019:19:06:37,480 INFO [test_3.py:58] 删除照片成功
22-08-2019:19:06:39,909 INFO [test_3.py:63] 滑动成功
22-08-2019:19:06:43,121 INFO [test_3.py:69] 点击设置跳转界面成功
22-08-2019:19:06:55,887 INFO [test_3.py:79] 退出成功
